snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549901932,0,270,61.17123,-149.99634,3076,13,0000
1549901943,0,274,61.17122,-149.99786,3076,12,0000
1549901950,0,311,61.17137,-149.99849,3076,10,0000
1549901956,0,333,61.17164,-149.99889,3076,11,0000
1549901962,0,345,61.17192,-149.99908,3076,12,0000
1549901971,0,343,61.17271,-149.99950,3076,39,0000
1549901983,0,344,61.17686,-150.00183,3076,99,3577
1549901991,0,344,61.18199,-150.00467,3076,134,3577
1549901997,0,344,61.18598,-150.00691,3076,149,3577
1549902003,25,343,61.19040,-150.00957,3076,159,3577
1549902009,200,342,61.19467,-150.01222,3076,165,3577
1549902019,575,330,61.20134,-150.01842,3076,168,3577
1549902039,1325,319,61.21321,-150.03795,3076,181,3577
1549902051,1900,316,61.22086,-150.05225,3076,187,3577
1549902059,2425,321,61.22731,-150.06392,3076,189,3577
1549902065,2750,334,61.23166,-150.06912,3076,188,3577
1549902073,3150,349,61.23728,-150.07263,3076,190,3577
1549902096,4425,42,61.25730,-150.05849,3076,202,7224
1549902103,4750,54,61.26105,-150.04892,3076,205,7224
1549902109,5150,60,61.26411,-150.03813,3076,204,7224
1549902115,5600,60,61.26703,-150.02736,3076,202,7224
1549902122,6000,59,61.26975,-150.01753,3076,201,7224
1549902129,6425,59,61.27289,-150.00641,3076,201,7224
1549902141,7025,58,61.27904,-149.98505,3076,214,7224
1549902153,7575,58,61.28567,-149.96278,3076,226,7224
1549902165,8175,59,61.29268,-149.93817,3076,239,7224
1549902177,8750,60,61.29950,-149.91325,3076,248,7224
1549902193,9625,60,61.30851,-149.87996,3076,256,7224
1549902206,10350,60,61.31593,-149.85243,3076,260,7224
1549902217,11025,70,61.32177,-149.82411,3076,267,7224
1549902225,11425,76,61.32401,-149.80662,3076,270,7224
1549902231,11775,82,61.32517,-149.79115,3076,271,7224
1549902237,12100,89,61.32554,-149.77600,3076,272,7224
1549902258,13350,103,61.32131,-149.71924,3076,274,7224
1549902265,13700,104,61.31930,-149.70235,3076,275,7224
1549902292,14725,114,61.30790,-149.63257,3076,298,7224
1549902298,14925,117,61.30399,-149.61623,3076,303,7224
1549902305,15150,119,61.29971,-149.60002,3076,307,7224
1549902343,16975,114,61.27583,-149.50307,3076,304,7224
1549902373,18075,112,61.25825,-149.41730,3076,321,7224
1549902434,19425,115,61.21759,-149.23106,3076,369,7224
1549902496,21425,115,61.17009,-149.02602,3076,388,7224
1549902557,23375,115,61.12271,-148.82213,3076,400,7224
1549902622,25300,115,61.07016,-148.59619,3076,411,7224
1549902724,28350,115,60.98415,-148.22990,14435,416,7224
1549902786,29900,116,60.93187,-148.01018,14435,422,7224
1549902847,31125,116,60.87932,-147.79007,3064,429,7224
1549902912,32150,116,60.82110,-147.55060,6648,441,7224
1549902977,33350,116,60.76073,-147.30557,6648,444,7224
1549903038,34475,116,60.70435,-147.07947,6648,442,7224
1549903099,35025,117,60.64815,-146.85481,6648,451,7224
1549903164,35025,117,60.58369,-146.60053,6648,473,7224
1549903230,35025,117,60.51595,-146.33742,6648,488,7224
1549903296,35025,117,60.44622,-146.06990,6648,498,7224
1549903361,35025,118,60.37490,-145.79897,6648,504,7224
1549903427,35025,118,60.30249,-145.52747,6648,506,7224
1549903446,35025,118,60.28134,-145.44876,6648,507,7224
