snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549874935,36000,305,58.53481,-141.07675,5798,430,6663
1549875013,36000,305,58.61791,-141.29533,5798,430,6663
1549875071,36000,312,58.68396,-141.45644,5798,430,0000
1549875130,36000,306,58.75087,-141.62860,5798,430,0000
1549875188,36000,303,58.82185,-141.82538,5798,430,0000
1549875247,36000,312,58.89603,-142.01233,5798,430,0000
1549875305,36000,306,58.96412,-142.19008,5798,430,0000
1549875365,36000,303,59.03627,-142.39094,5798,420,0000
1549875422,36000,306,59.10298,-142.57843,5798,420,0000
1549875480,36000,312,59.17633,-142.76298,5798,420,0000
1549875538,36000,306,59.24755,-142.94746,5798,420,0000
1549875598,36000,306,59.32074,-143.14160,5798,420,0000
1549875655,36000,304,59.38537,-143.32410,5798,420,0000
1549875714,36000,306,59.45494,-143.51987,5798,410,0000
1549875793,36000,306,59.53028,-143.73126,5798,410,0000
1549875851,36000,306,59.58744,-143.89140,5798,410,0000
1549875910,36000,304,59.64849,-144.06877,5798,410,0000
1549875967,36000,299,59.70478,-144.25055,5798,410,0000
1549876027,36000,306,59.76848,-144.44525,5798,410,0000
1549876085,36000,304,59.83107,-144.63652,5798,410,0000
1549876143,36000,306,59.89756,-144.83102,5798,410,0000
1549876204,36000,304,59.96449,-145.02844,5798,410,0000
1549876261,36000,307,60.02988,-145.21495,5798,410,0000
1549876319,36000,304,60.09510,-145.40436,5798,420,0000
1549876377,36000,302,60.15522,-145.58850,5798,410,0000
1549876435,36000,304,60.21932,-145.78435,5798,410,0000
1549876514,36000,307,60.29388,-146.00264,5798,410,0000
1549876573,36000,297,60.34327,-146.17151,5798,420,0000
1549876630,36000,305,60.39849,-146.35074,5798,420,0000
1549876688,36000,305,60.46340,-146.55487,5798,420,0000
1549876724,36000,288,60.51544,-146.80708,2763,423,0000
1549876792,36000,288,60.55737,-147.06242,2763,421,0000
1549876865,34000,288,60.60138,-147.33490,2763,419,6663
1549876927,31200,287,60.63820,-147.56924,6648,419,6663
1549876990,28875,287,60.67419,-147.79799,6648,404,6663
1549877057,26475,287,60.71109,-148.03708,6648,391,6663
1549877118,24175,291,60.75030,-148.24393,6648,383,6663
1549877181,21875,290,60.78909,-148.45579,6648,375,6663
1549877241,19950,290,60.82590,-148.65404,6648,360,6663
