snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549923010,32000,298,58.97231,-141.06045,5798,390,0000
1549923067,32000,301,59.02031,-141.22304,5798,380,0000
1549923127,32000,299,59.07244,-141.40858,5798,390,0000
1549923185,32000,306,59.12914,-141.58989,5798,380,0000
1549923245,32000,299,59.18422,-141.77666,5798,390,0000
1549923301,32000,299,59.23587,-141.95973,5798,380,0000
1549923361,32000,299,59.28595,-142.14233,5798,390,0000
1549923426,32000,299,59.33821,-142.33563,5798,380,0000
1549923484,32000,306,59.39439,-142.51622,5798,390,0000
1549923539,32000,290,59.43893,-142.69182,5798,380,0000
1549923595,32000,299,59.48569,-142.87360,5798,390,0000
1549923673,32000,297,59.54092,-143.09329,5798,380,0000
1549923736,32000,299,59.58795,-143.27704,5798,380,0000
1549923807,32000,297,59.63835,-143.47731,5798,390,0000
1549923879,32000,297,59.68805,-143.67702,5798,390,0000
1549923910,32000,299,59.71901,-143.79643,5798,390,0000
1549923966,32000,297,59.77216,-144.00485,5798,390,0000
1549924025,32000,289,59.81783,-144.21513,5798,390,0000
1549924081,32000,297,59.86574,-144.42798,5798,390,0000
1549924145,32000,299,59.91649,-144.63760,5798,390,0000
1549924199,32000,297,59.96342,-144.82765,5798,390,0000
1549924260,32000,289,60.00753,-145.03584,5798,390,0000
1549924319,32000,297,60.05246,-145.23624,5798,380,0000
1549924374,32000,299,60.09770,-145.42119,5798,380,0000
1549924455,32000,289,60.14787,-145.65810,5798,380,0000
1549924509,32000,297,60.18630,-145.82896,5798,390,0000
1549924576,32000,299,60.23457,-146.02464,5798,380,0000
1549924630,32000,289,60.27095,-146.19852,5798,390,0000
1549924689,32000,297,60.31453,-146.39108,5798,380,0000
1549924743,32000,289,60.35187,-146.57985,5798,390,0000
1549924807,32000,297,60.39736,-146.78851,5798,390,0000
1549924899,32000,292,60.48756,-147.20003,6648,389,0000
1549924964,32000,292,60.53267,-147.42171,6648,387,0000
1549925030,32000,292,60.57729,-147.63968,6648,386,0000
1549925105,31625,292,60.62874,-147.89455,6648,385,0000
1549925171,28425,292,60.67296,-148.11673,6648,390,0000
1549925231,25675,291,60.71352,-148.32149,6648,386,0000
1549925297,23050,291,60.75600,-148.54160,6648,374,0000
1549925357,20700,291,60.79372,-148.73604,6648,363,0000
1549925423,18375,291,60.83313,-148.94327,6648,347,0000
1549925484,15800,290,60.86769,-149.12520,6648,343,0000
1549925519,14500,292,60.88781,-149.23102,6648,337,0000
1549925554,13050,293,60.90993,-149.33647,6648,334,0000
1549925585,11925,293,60.92822,-149.42299,6648,330,0000
1549925600,11350,293,60.93776,-149.46928,6648,331,0000
1549925615,11075,293,60.94670,-149.51190,6648,322,0000
1549925630,10975,293,60.95536,-149.55296,6648,307,0000
1549925645,10850,292,60.96350,-149.59241,6648,294,0000
1549925660,10750,292,60.97133,-149.62996,6648,282,0000
1549925676,10650,292,60.97893,-149.66628,6648,271,0000
1549925686,10500,292,60.98373,-149.68976,6648,267,0000
1549925700,10250,293,60.99102,-149.72443,6648,261,0000
1549925710,10075,303,60.99703,-149.74600,6648,260,0000
1549925717,9975,307,61.00090,-149.75588,6648,260,0000
1549925727,9725,317,61.00937,-149.77396,6648,263,0000
1549925736,9500,320,61.01866,-149.79016,6648,265,0000
1549925747,9225,320,61.02841,-149.80606,6648,265,0000
1549925761,8800,320,61.04315,-149.83173,6648,268,0000
1549925776,8425,321,61.05750,-149.85596,6648,269,0000
1549925792,8025,320,61.07250,-149.88029,6648,270,0000
1549925806,7675,320,61.08701,-149.90468,6648,269,0000
1549925822,7275,305,61.09982,-149.93199,6648,264,0000
1549925832,7025,285,61.10408,-149.95505,6648,258,0000
1549925841,6750,270,61.10495,-149.97917,6648,254,0000
1549925862,6175,268,61.10419,-150.03052,6648,258,0000
1549925877,6000,269,61.10386,-150.06450,6648,250,0000
1549925892,5900,269,61.10354,-150.10182,6648,239,0000
1549925907,5825,268,61.10321,-150.13524,6648,230,0000
1549925922,5675,268,61.10284,-150.16713,6648,216,0000
1549925937,5125,269,61.10257,-150.19753,6648,212,0000
1549925948,4800,276,61.10307,-150.21764,6648,212,0000
1549925958,4700,295,61.10628,-150.23637,6648,203,0000
1549925968,4575,317,61.11261,-150.25227,6648,196,0000
1549925978,4400,337,61.12048,-150.26103,6648,193,0000
1549925988,4250,357,61.12937,-150.26398,6648,189,0000
1549926009,3825,10,61.14597,-150.26021,6648,180,0000
1549926018,3550,19,61.15338,-150.25560,6648,175,0000
1549926028,3125,42,61.16061,-150.24506,6648,179,0000
1549926039,2775,60,61.16513,-150.23102,6648,177,0000
1549926048,2450,77,61.16740,-150.21515,6648,173,0000
1549926054,2300,83,61.16787,-150.20863,6648,173,0000
1549926077,1575,91,61.16748,-150.16809,14435,166,0000
1549926104,925,89,61.16753,-150.12758,14435,158,0000
1549926117,625,89,61.16766,-150.10698,14435,152,0000
1549926125,450,89,61.16775,-150.09561,14435,149,0000
1549926138,250,90,61.16782,-150.07752,14435,144,0000
1549926154,50,90,61.16775,-150.05656,14435,144,0000
1549926179,0,90,61.16785,-150.02263,14435,120,0000
