snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549843203,250,100,61.24878,-149.84944,41406,61,1200
1549843209,200,90,61.24869,-149.84599,41406,61,1200
1549843220,100,81,61.24910,-149.83900,41406,58,1200
1549843232,75,79,61.24951,-149.83380,41406,56,1200
1549843260,0,81,61.25043,-149.82280,41406,18,1200
1549843292,0,84,61.25037,-149.82018,41406,14,1200
1549843313,0,81,61.24997,-149.82019,3076,12,1200
1549843319,0,81,61.24996,-149.82048,3076,14,1200
1549843326,0,261,61.24994,-149.82083,3076,18,1200
1549843332,0,258,61.24991,-149.82121,3076,18,1200
1549843342,0,258,61.24985,-149.82190,3076,22,1200
1549843350,0,258,61.24979,-149.82277,3076,26,1200
1549843359,0,261,61.24970,-149.82379,3076,28,1200
1549843370,0,258,61.24958,-149.82512,3076,26,1200
1549843382,0,244,61.24939,-149.82622,3076,22,1200
1549843391,0,244,61.24921,-149.82704,3076,24,1200
1549843397,0,244,61.24915,-149.82733,3076,24,1200
1549843407,0,244,61.24893,-149.82838,3076,24,1200
1549843413,0,244,61.24881,-149.82892,3076,24,1200
1549843419,0,244,61.24868,-149.82948,3076,28,1200
1549843429,0,244,61.24850,-149.83037,3076,26,1200
1549843436,0,247,61.24838,-149.83095,3076,26,1200
1549843446,0,244,61.24815,-149.83203,3076,24,1200
1549843452,0,244,61.24806,-149.83243,3076,18,1200
1549843458,0,233,61.24794,-149.83279,3076,20,1200
1549843464,0,227,61.24780,-149.83318,3076,20,1200
1549843471,0,222,61.24763,-149.83350,3076,20,1200
1549843478,0,213,61.24737,-149.83394,3076,18,1200
1549843489,0,205,61.24710,-149.83424,3076,18,1200
1549843497,0,202,61.24682,-149.83449,3076,18,1200
1549843506,0,199,61.24658,-149.83470,3076,14,1200
1549843519,0,199,61.24638,-149.83489,3076,10,1200
1549843531,0,199,61.24624,-149.83517,3076,10,1200
1549843540,0,225,61.24617,-149.83546,3076,2,1200
