snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549908949,25950,315,64.44804,-156.27159,2602,243,4533
1549909094,25950,315,64.56450,-156.53441,2602,243,4533
1549909251,25950,315,64.69062,-156.82309,2602,243,4533
1549909313,25950,315,64.74005,-156.93739,2602,243,4533
1549909375,25950,315,64.78982,-157.05310,2602,244,4533
1549909386,25950,315,64.79894,-157.07428,2602,244,4533
1549909493,25950,315,64.88399,-157.27364,2602,247,4533
1549909554,25950,314,64.93465,-157.39322,2602,249,4533
1549909618,25950,314,64.98557,-157.51419,2602,249,4533
1549909681,25950,314,65.03627,-157.63524,2602,248,4533
1549909742,25950,314,65.08673,-157.75658,2602,249,4533
1549909781,25950,314,65.11704,-157.82959,2602,251,4533
1549909858,25950,314,65.17984,-157.98180,2602,252,4533
1549909949,25950,314,65.25266,-158.15962,2602,254,4533
1549910011,25950,314,65.30406,-158.28651,2602,256,4533
1549910022,25950,314,65.31339,-158.30955,2602,256,4533
