snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549923949,34000,296,55.48008,-141.08409,5798,460,0000
1549924004,34000,293,55.53933,-141.31323,5798,460,0000
1549924064,34000,293,55.59738,-141.54953,5798,460,0000
1549924133,34000,294,55.65389,-141.78108,5798,460,0000
1549924184,34000,299,55.69890,-141.95207,5798,460,0000
1549924238,34000,293,55.74768,-142.14848,5798,460,0000
1549924299,34000,301,55.80831,-142.36244,5798,460,0000
1549924364,34000,286,55.86187,-142.59622,5798,460,0000
1549924472,34000,294,55.95261,-142.98798,5798,480,0000
1549924533,34000,295,56.00325,-143.20525,5798,460,0000
1549924592,34000,295,56.05073,-143.40308,5798,450,0000
1549924647,34000,292,56.09971,-143.61836,5798,450,0000
1549924705,34000,295,56.14965,-143.83067,5798,450,0000
1549924770,34000,292,56.20357,-144.07001,5798,490,0000
1549924847,34000,293,56.25934,-144.31703,5798,460,0000
1549924902,34000,293,56.30158,-144.50359,5798,470,0000
1549924960,34000,293,56.34761,-144.70528,5798,470,0000
1549925020,34000,293,56.39788,-144.92452,5798,460,0000
1549925077,34000,293,56.44530,-145.13065,5798,460,0000
1549925139,34000,286,56.48946,-145.35568,5798,460,0000
1549925197,34000,292,56.53460,-145.58238,5798,460,0000
1549925255,34000,295,56.58012,-145.79128,5798,460,0000
1549925311,34000,292,56.62938,-146.01845,5798,460,0000
1549925371,34000,286,56.67387,-146.25282,5798,460,0000
1549925435,34000,293,56.72097,-146.48386,5798,450,0000
1549925486,34000,293,56.76237,-146.67485,5798,450,0000
1549925572,34000,286,56.81339,-146.94252,5798,450,0000
1549925626,34000,293,56.85187,-147.12961,5798,450,0000
1549925682,34000,286,56.88852,-147.33261,5798,450,0000
1549925742,34000,294,56.93136,-147.54565,5798,450,0000
1549925803,34000,286,56.96971,-147.75917,5798,450,0000
1549925857,34000,289,57.00293,-147.94678,5798,450,0000
1549925914,34000,294,57.04588,-148.16121,5798,450,0000
1549925974,34000,286,57.08498,-148.37752,5798,450,0000
1549926038,34000,294,57.13039,-148.60223,5798,450,0000
1549926090,34000,286,57.16737,-148.80602,5798,440,0000
1549926152,34000,286,57.20503,-149.03049,5798,440,0000
1549926211,34000,292,57.24630,-149.25180,5798,450,0000
1549926266,34000,286,57.28406,-149.47095,5798,440,2611
1549926347,34000,286,57.32760,-149.73737,5798,440,2611
1549926410,34000,286,57.35825,-149.93819,5798,440,2611
1549926461,34000,294,57.39454,-150.12970,5798,440,2611
