snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549852551,38000,293,55.50468,-141.17592,5798,470,0000
1549852608,38000,293,55.55384,-141.38342,5798,470,0000
1549852667,38000,301,55.61149,-141.59340,5798,470,0000
1549852726,38000,293,55.66682,-141.80927,5798,470,0000
1549852784,38000,295,55.71918,-142.01697,5798,470,0000
1549852843,38000,293,55.76963,-142.22688,5798,470,0000
1549852921,38000,293,55.82868,-142.47911,5798,470,0000
1549852981,38000,299,55.88196,-142.67864,5798,470,0000
1549853037,38000,293,55.93162,-142.87596,5798,470,0000
1549853095,38000,293,55.98255,-143.08662,5798,470,0000
1549853153,38000,293,56.03452,-143.30749,5798,470,0000
1549853213,38000,293,56.08361,-143.52031,5798,470,0000
1549853271,38000,293,56.13398,-143.74046,5798,470,0000
1549853331,38000,295,56.18496,-143.95631,5798,470,0000
1549853393,38000,293,56.23523,-144.17162,5798,470,0000
1549853450,38000,293,56.28337,-144.37944,5798,470,0000
1549853510,38000,292,56.33454,-144.60907,5798,500,0000
1549853564,38000,293,56.38013,-144.81236,5798,470,0000
1549853643,38000,293,56.44000,-145.07660,5798,450,0000
1549853701,38000,285,56.47789,-145.28586,5798,480,0000
1549853758,38000,292,56.52013,-145.50606,5798,480,0000
1549853818,38000,293,56.56550,-145.72600,5798,520,0000
1549853876,38000,292,56.61358,-145.95509,5798,480,0000
1549853934,38000,292,56.66132,-146.17984,5798,480,0000
1549853992,38000,293,56.71253,-146.41161,5798,470,0000
1549854053,38000,285,56.75714,-146.65074,5798,470,0000
1549854111,38000,292,56.80166,-146.87921,5798,480,0000
1549854168,38000,293,56.84728,-147.09677,5798,480,0000
1549854227,38000,285,56.88958,-147.33208,5798,470,0000
1549854286,38000,292,56.93339,-147.56065,5798,470,0000
1549854344,38000,294,56.98126,-147.79048,5798,470,0000
1549854420,38000,285,57.02732,-148.04636,5798,470,0000
1549854479,38000,294,57.06804,-148.24953,5798,460,0000
1549854538,38000,284,57.10516,-148.47258,5798,470,0000
1549854597,38000,294,57.14682,-148.69019,5798,470,0000
1549854656,38000,285,57.18685,-148.92618,5798,470,0000
1549854714,38000,294,57.22959,-149.14644,5798,460,0000
1549854803,37975,287,57.30327,-149.56744,6648,464,2622
1549854870,38000,287,57.34589,-149.81799,6648,464,2622
1549854931,38000,287,57.38425,-150.04629,6648,461,2622
1549854995,38000,286,57.42512,-150.29208,6648,463,2622
1549855056,38000,283,57.46161,-150.52283,6648,467,2622
1549855116,38000,279,57.48577,-150.76033,6648,467,2622
1549855183,37975,279,57.50984,-151.02063,6648,468,2622
1549855244,37975,279,57.53155,-151.26140,6648,466,2622
1549855303,38000,279,57.55266,-151.50078,6648,468,2622
1549855369,37975,279,57.57474,-151.75778,6648,460,2622
1549855429,38000,278,57.59473,-151.99533,6648,463,2622
1549855495,37975,278,57.61584,-152.25261,6648,456,2622
1549855555,38000,278,57.63473,-152.48706,6648,456,2622
1549855622,38000,278,57.65439,-152.74141,6648,460,2622
1549855682,37975,277,57.67245,-152.97887,6648,459,2622
1549855746,37975,277,57.69145,-153.23584,6648,456,2622
1549855808,38000,277,57.70848,-153.47273,6648,454,2622
1549855869,37975,277,57.72482,-153.70577,6648,450,2622
1549855930,37975,277,57.74071,-153.93955,6648,445,2622
1549855991,37975,276,57.75613,-154.17229,6648,450,2622
1549856056,37975,276,57.77257,-154.42648,6648,450,2622
1549856117,38000,276,57.78683,-154.65848,6648,448,2622
1549856182,38000,276,57.80214,-154.91246,6648,450,2622
1549856244,37975,276,57.81578,-155.14706,6648,443,2622
1549856305,38000,275,57.82906,-155.37894,6648,442,2622
1549856370,38000,275,57.84247,-155.62772,6648,439,2622
1549856421,38000,275,57.85272,-155.82104,6648,434,2622
1549856490,37975,275,57.86578,-156.07892,6648,430,2622
1549856581,37975,275,57.88188,-156.40942,3538,429,2622
1549856642,37975,274,57.89264,-156.64528,3538,430,2622
1549856704,38000,274,57.90289,-156.87448,3538,433,2622
1549856765,37975,274,57.91270,-157.10385,3538,431,2622
1549856826,38000,274,57.92193,-157.33145,3538,428,2622
1549856888,38000,274,57.93053,-157.55447,3538,418,2622
1549856949,37975,273,57.93873,-157.77246,3538,415,2622
1549857011,38000,273,57.94655,-157.99393,3538,411,2622
1549857073,38000,273,57.95393,-158.21323,3538,405,2622
1549857135,37975,273,57.96094,-158.43135,3538,406,2622
1549857196,37975,273,57.96767,-158.65250,3538,409,2622
1549857259,38000,273,57.97383,-158.87183,3538,410,2622
1549857320,37975,272,57.97971,-159.08948,3538,406,2622
1549857382,38000,272,57.98519,-159.30789,3538,407,2622
1549857443,38000,272,57.99021,-159.52084,3538,402,2622
1549857512,38000,272,57.99524,-159.75906,3538,395,2622
1549857533,38000,272,57.99674,-159.83258,3538,395,2622
1549857622,37975,274,58.00507,-160.14098,3538,395,2622
1549857686,38000,273,58.01321,-160.35805,3538,397,2622
1549857751,38000,273,58.02068,-160.57848,3538,399,2622
1549857813,37975,273,58.02778,-160.79791,3538,401,2622
