snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549859208,36000,271,61.00580,-141.18663,3064,481,3355
1549859270,36000,271,61.00899,-141.45604,3064,467,3355
1549859333,36000,271,61.01221,-141.73642,3064,461,3355
1549859397,36000,271,61.01518,-142.01202,3064,459,3355
1549859446,36000,270,61.01706,-142.22304,3064,457,3355
1549859536,36000,270,61.01932,-142.61568,3064,454,3355
1549859599,36000,270,61.02017,-142.88847,3064,451,3355
1549859665,36000,270,61.02049,-143.17052,3064,449,3355
1549859725,36000,269,61.02026,-143.43192,3064,448,3355
1549859789,36000,269,61.01953,-143.69946,3064,447,3355
1549859852,36000,269,61.01825,-143.96390,3064,446,3355
1549859915,36000,269,61.01642,-144.22994,3064,445,3355
1549859944,36000,268,61.01546,-144.34888,3064,445,3355
1549860061,36000,271,61.00280,-144.86934,5798,440,3355
1549860135,36000,271,60.99850,-145.11307,5798,450,3355
1549860194,36000,271,60.99699,-145.34464,5798,450,3355
1549860252,36000,263,60.98843,-145.58046,5798,450,3355
1549860313,36000,271,60.98314,-145.83931,5798,450,3355
1549860403,36000,267,60.98433,-146.30522,3064,424,3355
1549860466,36000,267,60.97801,-146.56662,3064,429,3355
1549860530,36000,266,60.97133,-146.82629,3064,430,3355
1549860542,35950,266,60.97030,-146.86377,3064,430,3355
1549860603,34000,262,60.95563,-147.11462,5798,430,3355
1549860663,30600,271,60.94777,-147.32982,5798,430,3355
1549860721,28100,263,60.93586,-147.56152,5798,430,3355
1549860778,25900,271,60.92960,-147.79781,5798,430,3355
1549860868,22600,265,60.92743,-148.18758,41406,391,3355
1549860931,20675,265,60.91887,-148.41222,41406,371,3355
1549860992,18825,265,60.91045,-148.62447,41406,365,3355
1549861055,16775,265,60.90173,-148.83688,41406,360,3355
1549861085,15775,265,60.89726,-148.94109,41406,352,3355
1549861115,14800,264,60.89293,-149.04102,41406,344,3355
1549861146,13800,264,60.88852,-149.14064,41406,338,3355
1549861180,12825,283,60.89098,-149.24094,41406,337,3355
1549861188,12550,290,60.89591,-149.27084,41406,337,3355
1549861219,11625,293,60.91461,-149.36197,41406,331,3355
1549861232,11275,293,60.92189,-149.39635,41406,329,3355
1549861243,10900,293,60.92954,-149.43216,41406,326,3355
1549861256,10550,293,60.93686,-149.46634,41406,324,3355
1549861268,10375,293,60.94432,-149.50139,41406,317,3355
1549861283,10275,293,60.95169,-149.53633,41406,307,3355
1549861294,10175,293,60.95851,-149.56882,41406,298,3355
1549861306,10075,293,60.96500,-149.59975,41406,289,3355
1549861318,9975,293,60.97138,-149.63048,41406,279,3355
1549861330,9875,293,60.97760,-149.66049,41406,272,3355
1549861344,9775,292,60.98369,-149.69005,41406,263,3355
1549861356,9550,293,60.98969,-149.71902,41406,266,3355
1549861369,9275,302,60.99698,-149.74680,41406,271,3355
1549861375,9150,309,61.00191,-149.75984,41406,272,3355
1549861381,9025,315,61.00740,-149.77121,41406,273,3355
1549861387,8900,320,61.01294,-149.78087,41406,272,3355
1549861398,8725,320,61.02174,-149.79593,41406,270,3355
1549861406,8525,320,61.03073,-149.81123,41406,268,3355
1549861416,8275,321,61.04213,-149.83037,41406,267,3355
1549861429,8025,321,61.05415,-149.85036,41406,264,3355
1549861442,7775,321,61.06544,-149.86922,41406,262,3355
1549861455,7525,320,61.07762,-149.88951,41406,260,3355
1549861467,7300,320,61.08852,-149.90796,41406,257,3355
1549861476,7125,309,61.09571,-149.92371,41406,255,3355
1549861485,6950,296,61.10142,-149.94367,41406,254,3355
1549861491,6825,287,61.10368,-149.95747,41406,253,3355
1549861501,6650,273,61.10500,-149.98015,41406,253,3355
1549861507,6550,271,61.10513,-149.99506,41406,252,3355
1549861532,6050,268,61.10463,-150.05676,3076,248,3355
1549861544,5825,267,61.10413,-150.08511,3076,247,3355
