snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549866172,14850,84,60.78912,-160.93538,3893,415,2234
1549866202,15775,83,60.79541,-160.82140,3893,438,2234
1549866237,17550,83,60.80365,-160.67127,3893,443,2234
1549866275,19225,84,60.81221,-160.51065,3893,452,2234
1549866321,20975,85,60.82087,-160.31161,3893,469,2234
1549866433,23400,82,60.83637,-159.88377,5798,470,2234
1549866492,25400,82,60.84832,-159.60921,5798,490,2234
1549866553,27300,89,60.85432,-159.32301,5798,500,2234
1549866588,28825,85,60.87655,-159.01053,3538,540,2234
1549866666,31100,83,60.88188,-158.71338,5798,520,2234
1549866734,34375,86,60.90175,-158.28638,3538,508,2234
1549866782,36175,86,60.90890,-158.06482,3538,481,2234
1549866841,37000,89,60.91326,-157.76054,5798,500,2234
1549866901,37000,82,60.91793,-157.50299,5798,490,2234
1549866958,37000,89,60.91964,-157.24597,5798,490,2234
1549867047,37000,87,60.94191,-156.82188,3076,502,2234
1549867109,37000,87,60.94787,-156.52840,3076,498,2234
1549867170,37000,87,60.95331,-156.24873,3076,492,2234
1549867231,37000,88,60.95796,-155.95519,3076,493,2234
1549867293,37000,88,60.96230,-155.67117,3076,491,2234
1549867354,37000,88,60.96574,-155.38637,3076,494,2234
1549867415,37000,88,60.96867,-155.09802,3076,500,2234
1549867476,37000,89,60.97078,-154.80513,3076,503,2234
1549867537,37000,89,60.97230,-154.51132,3076,501,2234
1549867600,36475,89,60.97343,-154.22040,3076,495,2234
1549867663,35475,90,60.97385,-153.92992,3076,498,2234
1549867722,34450,89,60.97315,-153.64105,3076,494,2234
1549867783,31900,90,60.97235,-153.35844,3076,486,2234
1549867844,29375,90,60.97119,-153.07918,3076,473,2234
1549867906,27075,90,60.97044,-152.80893,3076,458,2234
1549867968,24550,91,60.96756,-152.54674,3076,444,2234
1549868028,22075,91,60.96439,-152.29552,3076,425,2234
1549868091,19125,91,60.96066,-152.04131,3076,414,2234
1549868153,16250,91,60.95755,-151.80482,3076,405,2234
1549868184,14750,91,60.95583,-151.68941,3076,402,2234
1549868217,13900,91,60.95380,-151.56464,3076,378,2234
1549868253,12525,92,60.95168,-151.43839,3076,366,2234
1549868288,11475,92,60.94991,-151.32422,3076,340,2234
1549868315,10725,61,60.95703,-151.23917,3076,323,2234
1549868322,10600,52,60.96174,-151.22475,3076,317,2234
1549868333,10500,47,60.97371,-151.19659,3076,306,2234
1549868345,10425,47,60.98455,-151.17197,3076,297,2234
1549868357,10175,47,60.99609,-151.14603,3076,293,2234
1549868369,9950,50,61.00722,-151.12035,3076,288,2234
1549868380,9800,57,61.01427,-151.09952,3076,284,2234
1549868387,9650,57,61.02054,-151.07947,3076,281,2234
1549868394,9550,57,61.02480,-151.06570,3076,278,2234
