snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549914962,0,180,61.21680,-149.84467,3076,1,0000
1549915081,0,90,61.21659,-149.84450,3076,15,1200
1549915098,0,90,61.21650,-149.84349,3076,22,0104
1549915145,0,90,61.21648,-149.83907,3076,23,0104
1549915162,0,92,61.21647,-149.83742,3076,26,0104
1549915169,0,90,61.21647,-149.83673,3076,27,0104
1549915176,0,90,61.21647,-149.83607,3076,28,0104
1549915186,0,90,61.21648,-149.83472,3076,28,0104
1549915211,0,87,61.21651,-149.83234,3076,25,0104
1549915226,0,87,61.21651,-149.83115,3076,13,0104
1549915601,0,180,61.21633,-149.83127,3076,0,0104
1549915618,0,188,61.21603,-149.83127,3076,18,0104
1549915629,0,188,61.21590,-149.83170,3076,2,0104
1549915638,0,267,61.21590,-149.83212,3076,31,0104
1549915644,0,270,61.21590,-149.83328,3076,32,0104
1549915654,0,269,61.21587,-149.83763,3076,59,0104
1549915662,0,270,61.21591,-149.84381,3076,75,0104
1549915669,0,270,61.21591,-149.84843,3076,79,0104
1549915681,150,272,61.21610,-149.85763,3076,76,0104
1549915692,325,280,61.21647,-149.86633,3076,75,0104
1549915699,400,293,61.21715,-149.87048,3076,76,0104
1549915707,475,304,61.21889,-149.87630,3076,79,0104
1549915714,550,305,61.22017,-149.88010,3076,81,0104
1549915720,600,305,61.22150,-149.88403,3076,83,0104
1549915732,775,303,61.22415,-149.89206,3076,80,0104
1549915738,825,303,61.22543,-149.89600,3076,82,0104
1549915744,900,302,61.22671,-149.90001,3076,84,0104
1549915750,975,302,61.22797,-149.90418,3076,84,0104
1549915756,1050,302,61.22919,-149.90816,3076,82,0104
1549915762,1100,301,61.23044,-149.91222,3076,83,0104
1549915769,1175,300,61.23166,-149.91649,3076,83,0104
1549915781,1325,300,61.23393,-149.92462,3076,84,0104
1549915797,1475,302,61.23705,-149.93561,3076,86,0104
1549915807,1575,304,61.23980,-149.94405,3076,89,0104
1549915816,1650,305,61.24194,-149.95046,3076,91,0104
1549915825,1700,305,61.24352,-149.95505,3076,92,0104
1549915834,1700,306,61.24664,-149.96410,3076,100,0104
