snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549877734,0,106,61.17426,-149.98508,41406,9,0000
1549877745,0,120,61.17427,-149.98531,41406,2,0000
1549877760,0,146,61.17432,-149.98555,41406,2,3456
1549878180,0,326,61.17426,-149.98515,41406,0,3456
1549878212,0,241,61.17386,-149.98663,41406,25,3456
1549878224,0,247,61.17360,-149.98781,41406,28,3456
1549878240,0,250,61.17326,-149.98973,41406,30,3456
1549878249,0,250,61.17309,-149.99068,41406,25,3456
1549878258,0,255,61.17296,-149.99156,41406,23,3456
1549878274,0,270,61.17289,-149.99291,41406,26,3456
1549878333,0,168,61.17190,-149.99545,41406,20,3456
1549878343,0,199,61.17153,-149.99556,41406,22,3456
1549878364,0,270,61.17125,-149.99753,3076,30,3456
1549878372,0,306,61.17141,-149.99855,3076,29,3456
1549878382,0,343,61.17188,-149.99896,3076,30,3456
1549878390,0,345,61.17243,-149.99927,3076,25,3456
1549878397,0,345,61.17489,-150.00064,3076,74,3456
1549878404,0,345,61.17760,-150.00214,3076,103,3456
1549878415,0,344,61.18486,-150.00621,3076,150,3456
1549878422,0,345,61.18922,-150.00861,3076,169,3456
1549878430,100,344,61.19431,-150.01149,3076,173,3456
1549878441,750,341,61.20363,-150.01739,3076,172,3456
1549878450,1325,330,61.21028,-150.02420,3076,165,3456
1549878456,1525,325,61.21415,-150.02960,3076,169,3456
1549878463,1675,324,61.21852,-150.03621,3076,180,3456
1549878469,1850,324,61.22299,-150.04292,3076,187,3456
1549878479,2050,324,61.22997,-150.05330,3076,199,3456
1549878487,2150,324,61.23490,-150.06073,3076,212,3456
1549878497,2650,324,61.24548,-150.07638,3076,224,3456
1549878504,3000,325,61.25092,-150.08423,3076,226,3456
1549878510,3275,327,61.25647,-150.09169,3076,231,3456
1549878516,3600,336,61.26247,-150.09747,3076,235,3456
1549878523,3900,348,61.26910,-150.10091,3076,238,3456
1549878547,5125,43,61.29417,-150.08006,3076,248,3456
1549878554,5500,59,61.29822,-150.06744,3076,249,3456
1549878565,6025,76,61.30152,-150.04658,3076,253,3456
1549878590,7575,108,61.29634,-149.97858,3076,267,3456
1549878596,8000,110,61.29359,-149.96318,3076,267,3456
1549878612,8800,109,61.28677,-149.92493,3076,271,3456
1549878627,9275,107,61.28188,-149.89294,3076,282,3456
1549878638,9575,105,61.27712,-149.85852,3076,298,3456
1549878649,9875,104,61.27248,-149.82269,3076,315,3456
1549878662,10175,105,61.26773,-149.78671,3076,329,3456
1549878676,10600,105,61.26219,-149.74457,3076,341,3456
1549878688,11200,105,61.25706,-149.70531,3076,345,3456
1549878698,11900,104,61.25218,-149.66614,3076,347,3456
1549878713,12450,104,61.24722,-149.62604,3076,351,3456
1549878743,13775,101,61.23679,-149.52127,3076,367,3456
1549878775,15200,101,61.22598,-149.41220,3076,375,3456
1549878805,16525,100,61.21518,-149.30136,3076,384,3456
1549878857,18650,101,61.19762,-149.11458,20752,394,3456
1549878918,20975,101,61.17500,-148.88275,7996,406,3456
1549878981,23125,101,61.15046,-148.63831,7996,417,3456
1549879043,24875,115,61.11699,-148.40126,7996,422,3456
1549879106,26250,117,61.06020,-148.17088,7996,440,3456
1549879171,27775,117,60.99945,-147.92728,7996,451,3456
1549879231,29250,117,60.93953,-147.68950,3064,455,3456
1549879296,30800,117,60.87752,-147.44634,3064,455,3456
1549879362,32250,117,60.81482,-147.20355,3064,455,3456
1549879384,32675,117,60.79192,-147.11526,3064,457,3456
1549879479,33900,120,60.69419,-146.77437,5798,450,3456
1549879538,35000,113,60.64221,-146.56845,5798,450,3456
1549879604,35000,118,60.56616,-146.26288,6648,470,3456
1549879630,35000,118,60.53934,-146.16429,6648,472,3456
1549879722,35000,119,60.44275,-145.81311,6648,475,3456
1549879781,35000,119,60.37797,-145.57895,6648,477,3456
1549879847,35000,119,60.30698,-145.32573,6648,476,3456
1549879857,35000,119,60.29608,-145.28699,6648,474,3456
1549879946,35000,119,60.19589,-144.94165,5798,460,3456
1549880005,35000,121,60.12991,-144.72717,5798,460,3456
1549880062,35000,119,60.06500,-144.50890,5798,460,3456
1549880140,35000,121,59.99060,-144.26280,5798,460,3456
1549880201,35000,121,59.92966,-144.06419,5798,460,3456
1549880258,35000,119,59.86699,-143.85330,5798,460,3456
1549880317,35000,121,59.80132,-143.63556,5798,460,3456
1549880376,35000,121,59.73614,-143.42180,5798,460,3456
1549880434,35000,121,59.66989,-143.20598,5798,460,3456
1549880492,35000,116,59.60959,-142.99287,5798,460,0000
1549880550,35000,121,59.54845,-142.78288,5798,460,0000
1549880609,35000,121,59.48553,-142.57178,5798,450,0000
1549880667,35000,123,59.41888,-142.35945,5798,450,0000
1549880725,35500,123,59.35420,-142.16130,5798,440,0000
1549880786,36200,123,59.28629,-141.95746,5798,440,0000
1549880862,37000,120,59.20782,-141.71573,5798,440,0000
1549880921,37000,122,59.14604,-141.52960,5798,450,0000
1549880980,37000,122,59.08351,-141.34265,5798,450,0000
1549881038,37000,126,59.01136,-141.14291,5798,450,0000
