snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549925677,38000,272,53.24991,-141.68955,5798,488,0000
1549926265,38000,256,53.49691,-143.79819,5798,492,0000
1549926826,38000,259,53.69278,-145.82733,5798,451,0000
1549927419,38000,254,53.85828,-147.82072,5798,465,0000
1549927981,38000,277,54.00387,-149.87944,5798,456,0000
1549928034,38000,271,54.00930,-150.03970,5798,472,0000
1549928601,38000,249,54.07566,-152.01865,5798,467,0000
1549929126,38000,267,54.10652,-154.06596,5798,457,0000
1549929560,38000,262,54.10751,-155.65016,5798,450,0000
