snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549872961,33000,73,59.74509,-160.74826,3893,536,7436
1549873025,33000,73,59.79002,-160.44644,3893,536,7436
1549873088,33000,73,59.83340,-160.14969,3893,534,7436
1549873179,33000,70,59.88898,-159.74263,5798,530,7436
1549873239,33000,76,59.91959,-159.48564,5798,520,7436
1549873297,33000,76,59.95042,-159.22244,5798,520,7436
1549873354,33000,69,59.99144,-158.94917,5798,520,7436
1549873414,33000,76,60.03072,-158.66240,5798,510,7436
1549873491,33000,76,60.07165,-158.34424,5798,520,7436
1549873549,33000,76,60.10406,-158.07744,5798,520,7436
1549873640,33000,76,60.17867,-157.56905,3538,521,7436
1549873702,33000,76,60.21501,-157.26967,3538,520,0000
1549873766,33000,76,60.24980,-156.97720,3538,519,0000
1549873829,33000,76,60.28417,-156.68143,3538,519,7436
1549873903,33000,77,60.32387,-156.33261,3538,518,7436
1549873917,33000,77,60.33060,-156.27246,3538,518,7436
1549874023,33000,77,60.38575,-155.77083,3538,516,7436
1549874136,33000,78,60.44192,-155.23720,3076,514,7436
1549874198,33000,78,60.47131,-154.94975,3076,512,7436
1549874258,33000,76,60.50116,-154.66373,3076,509,7436
1549874319,33000,74,60.53686,-154.38803,3076,502,7436
1549874383,33000,75,60.57404,-154.10815,3076,503,7436
1549874442,31600,75,60.61029,-153.82620,3076,496,7436
1549874505,29200,75,60.64481,-153.55208,3076,480,7436
1549874567,26875,76,60.67813,-153.28323,3076,466,7436
1549874629,24700,76,60.70995,-153.02298,3076,452,7436
1549874691,22500,76,60.74048,-152.76744,3076,436,7436
1549874754,20475,76,60.76920,-152.52457,3076,422,7436
1549874816,18450,76,60.79646,-152.28793,3076,417,7436
1549874878,16075,77,60.82357,-152.04735,3076,421,7436
1549874910,15050,77,60.83698,-151.92847,3076,417,7436
1549874940,14000,77,60.85048,-151.80681,3076,412,7436
1549874973,12925,77,60.86407,-151.68510,3076,406,7436
1549875005,11925,77,60.87712,-151.56576,3076,395,7436
1549875021,11650,77,60.88344,-151.50784,3076,382,7436
1549875033,11500,77,60.88795,-151.46616,3076,372,7436
1549875046,11325,77,60.89256,-151.42348,3076,362,7436
1549875059,11150,73,60.89777,-151.38232,3076,353,7436
1549875072,10950,70,60.90448,-151.34108,3076,344,7436
1549875086,10750,66,60.91202,-151.30312,3076,335,7436
1549875099,10575,65,60.92007,-151.26692,3076,324,7436
1549875110,10325,65,60.92799,-151.23171,3076,317,7436
1549875123,9925,65,60.93544,-151.19858,3076,315,7436
1549875135,9600,65,60.94295,-151.16515,3076,311,7436
1549875149,9300,65,60.95032,-151.13219,3076,306,7436
1549875160,8950,64,60.95769,-151.09938,3076,301,7436
1549875172,8575,57,60.96560,-151.07094,3076,296,7436
1549875179,8350,53,60.97124,-151.05519,3076,294,7436
1549875186,8175,49,60.97626,-151.04288,3076,291,7436
1549875192,8000,42,60.98483,-151.02574,3076,286,7436
1549875198,7975,42,60.98776,-151.02022,3076,285,7436
1549875204,7825,42,60.99656,-151.00345,3076,281,7436
1549875222,7575,42,61.01169,-150.97510,3076,275,7436
1549875232,7300,41,61.02283,-150.95451,3076,274,7436
1549875246,7025,42,61.03482,-150.93236,3076,271,7436
1549875259,6750,42,61.04632,-150.91095,3076,270,7436
1549875270,6450,42,61.05740,-150.89031,3076,269,7436
1549875282,6150,42,61.06938,-150.86789,3076,269,7436
1549875295,5875,42,61.08073,-150.84641,3076,268,7436
1549875307,5575,42,61.09168,-150.82571,3076,267,7436
1549875322,5275,42,61.10298,-150.80434,3076,267,7436
1549875335,5075,41,61.11452,-150.78308,3076,264,7436
1549875346,4875,42,61.12587,-150.76166,3076,259,7436
1549875358,4600,43,61.13687,-150.74056,3076,256,7436
