snapshot_id,altitude,heading,latitude,longitude,radar_id,speed,squawk
1549912264,7200,137,62.93333,-154.11667,5798,140,0000
1549912306,9000,118,62.91667,-154.05000,5798,140,0000
1549912363,10700,131,62.88470,-153.96605,5798,140,0000
1549912478,13900,131,62.83296,-153.80100,5798,160,0000
1549912499,14375,125,62.82769,-153.76360,3076,182,0000
1549912533,15200,125,62.81107,-153.71236,3076,185,0000
1549912560,15300,131,62.79823,-153.70508,5798,170,0000
1549912563,15900,125,62.79575,-153.66536,3076,190,2323
1549912597,16725,125,62.77890,-153.61369,3076,189,2323
1549912612,16800,126,62.77053,-153.62537,5798,180,0000
1549912631,17525,125,62.76210,-153.56232,3076,187,2323
1549912664,18275,125,62.74521,-153.51085,3076,190,2323
1549912673,17900,109,62.74509,-153.52676,5798,180,0000
1549912725,19600,125,62.71326,-153.41389,3076,192,2323
1549912730,19300,131,62.71770,-153.43794,5798,190,0000
1549912786,20675,125,62.68115,-153.31706,3076,200,2323
1549912790,20400,125,62.68668,-153.34097,5798,190,0000
1549912846,21850,125,62.64809,-153.21755,3076,201,2323
1549912850,21500,125,62.65459,-153.24307,5798,190,0000
1549912909,22900,125,62.61485,-153.11762,3076,204,2323
1549912913,22600,125,62.61993,-153.13867,5798,200,0000
1549912969,23000,126,62.57661,-153.00476,3076,252,2323
1549912975,23000,125,62.58673,-153.03964,5798,200,0000
1549913027,23000,129,62.54831,-152.93259,5798,220,0000
1549913032,23000,126,62.52994,-152.86620,3076,281,2323
1549913095,23000,126,62.48209,-152.72475,3076,289,2323
1549913104,23000,129,62.49297,-152.78194,5798,240,0000
1549913153,23000,126,62.43395,-152.58308,3076,294,2323
1549913174,23000,118,62.44929,-152.64400,5798,250,0000
1549913199,23000,125,62.41846,-152.54683,5798,260,0000
1549913216,23000,126,62.38426,-152.43794,3076,293,2323
1549913256,23000,128,62.36371,-152.38632,5798,270,0000
1549913276,23000,126,62.33512,-152.29587,3076,295,2323
1549913338,23000,126,62.28489,-152.15135,3076,296,2323
1549913346,23000,125,62.29804,-152.19272,5798,270,0000
1549913396,23000,128,62.25727,-152.07942,5798,280,0000
1549913399,23000,127,62.23466,-152.00789,3076,297,2323
1549913462,23000,127,62.18376,-151.86320,3076,298,2323
1549913526,23000,127,62.13048,-151.71304,3076,299,2323
1549913585,23000,127,62.07922,-151.56921,3076,300,2323
1549913647,23000,127,62.02771,-151.42554,3076,300,2323
1549913709,22575,127,61.97677,-151.28479,3076,310,2323
