Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
NP|2730|63.41591|-145.7504|740.0|Highway Maintenance Station|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|2738|63.38882|-148.8849|661.0|ADOT Maintenance Sta|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|2784|61.13035|-146.35466|27.0|Valdez City Hall|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8016|61.1922|-149.8645|34.0|BP Building|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8023|61.20469|-149.8763|15.0|Anchorage, Football Stadium|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8034|61.12634|-146.35665|21.0|Valdez, Civic Center|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8035|57.61358|-152.23431|14.0|Kodiak Is; Chiniak School|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8042|61.18761|-149.88374|31.0|Frontier Building|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8043|61.22176|-149.88472|4.0|Port Access Bridge|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8049|57.79129|-152.40592|17.0|Fire Department HQ|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8050|57.74083|-152.50438|13.0|USCG Air Station; Admin Bldg|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8051|57.73717|-152.50377|7.0|USCG Air Station; Hanger #1|2599-12-31T23:59:59|3000-01-01T00:00:00
AM|RE1B7|64.8018018018018|-147.9136012427008|307.0|Raspberry Shake Citizen Science Station|2018-08-18T03:51:45|2019-04-22T20:15:36
NP|2716|61.2193|-149.89175|30.0|Hilton Hotel|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8021|61.1129|-149.9095|21.0|Klatt Elementary School|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8029|61.1739|-149.8501|42.0|Tudor Elementary School|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8037|61.15624|-149.98495|40.0|NOAA Weather Facility|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8040|61.21349|-149.89328|32.0|Robert B Atwood Bldg|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8045|61.23323|-149.74394|69.0|VAMC|2599-12-31T23:59:59|3000-01-01T00:00:00
NP|8046|61.23385|-149.74347|68.0|VAMC, Freefield|2599-12-31T23:59:59|3000-01-01T00:00:00
