Network|Station|Latitude|Longitude|Elevation|Sitename|StartTime|EndTime
NP|2716|61.2193|-149.89175|30.0|Hilton Hotel|1971-09-10T18:00:00|2599-12-31T23:59:59
NP|2730|63.41591|-145.7504|740.0|Highway Maintenance Station|2002-11-16T18:00:00|2599-12-31T23:59:59
NP|2738|63.38882|-148.8849|661.0|ADOT Maintenance Sta|1976-05-12T18:00:00|2599-12-31T23:59:59
NP|2767|64.79265|-147.18059|153.0|Moose Creek Dam|1980-05-13T18:00:00|2599-12-31T23:59:59
NP|2784|61.13035|-146.35466|27.0|Valdez City Hall|1982-04-19T18:00:00|2599-12-31T23:59:59
NP|8007|61.18244|-149.99674|28.0|International  Airport|1984-09-14T18:00:00|2599-12-31T23:59:59
NP|8011|61.20901|-149.78571|71.0|Russian Jack Springs Park|1984-06-22T18:00:00|2599-12-31T23:59:59
NP|8016|61.1922|-149.8645|34.0|BP Building|1989-09-12T18:00:00|2599-12-31T23:59:59
NP|8021|61.1129|-149.9095|21.0|Klatt Elementary School|1993-09-28T18:00:00|2599-12-31T23:59:59
NP|8023|61.20469|-149.8763|15.0|Anchorage, Football Stadium|2001-06-14T18:00:00|2599-12-31T23:59:59
NP|8025|61.1471|-149.8939|23.0|Anchorage, BS Lutheran Church|2001-06-16T18:00:00|2599-12-31T23:59:59
NP|8026|61.2089|-149.8289|33.0|Baptist Church of Christ|2001-06-16T18:00:00|2599-12-31T23:59:59
NP|8027|61.16088|-149.88932|32.0|State Fish and Game|2001-06-18T18:00:00|2599-12-31T23:59:59
NP|8028|61.1925|-149.782|57.0|College Gate Elementary School|2001-06-18T18:00:00|2599-12-31T23:59:59
NP|8029|61.1739|-149.8501|42.0|Tudor Elementary School|2001-06-19T18:00:00|2599-12-31T23:59:59
NP|8030|61.1795|-149.8058|53.0|Police Headquarters|2001-06-20T18:00:00|2599-12-31T23:59:59
NP|8034|61.12634|-146.35665|21.0|Valdez, Civic Center|2002-09-19T18:00:00|2599-12-31T23:59:59
NP|8035|57.61358|-152.23431|14.0|Kodiak Is; Chiniak School|2002-09-10T18:00:00|2599-12-31T23:59:59
NP|8036|61.17795|-149.96573|23.0|DOI Office  Aircraft Services|2002-09-05T18:00:00|2599-12-31T23:59:59
NP|8037|61.15624|-149.98495|40.0|NOAA Weather Facility|2002-09-06T18:00:00|2599-12-31T23:59:59
